1 1:1 2:-0.810134 3:-0.989714 4:-0.992935 5:-0.994605 6:-0.99588 7:-0.996854 8:-0.997604 9:-0.99818 10:-0.998621 11:-0.998957 12:-0.9992 13:-0.999363 14:-0.999489 15:-0.999595 16:-0.999758 17:-0.156739 18:-0.22548 19:-0.417791 20:-0.741791 21:-0.961078 22:-0.9173 23:-0.773701 24:-0.616713 25:-0.507809 26:-0.60591 27:-0.650477 28:-0.559332 29:-0.396264 30:-0.433271 31:-0.317372 32:-0.121428 33:-0.0904531 34:0.152649 35:0.00309977 36:-0.0967655 37:-0.236139 38:-0.283013 39:-0.30318 40:-0.344775 41:-0.346245 42:-0.357096 43:-0.366014 44:-0.270881 45:-0.162094 46:-0.487269 47:-0.833258 48:-0.672393 49:-0.996393 50:-0.772118 51:-0.582621 52:-0.520177 53:-0.47526 54:-0.427195 55:-0.407898 56:-0.390244 57:-0.397297 58:-0.333824 59:-0.372773 60:-0.374769 61:-0.633937 62:-0.864073 63:-0.547007 64:-0.529654 65:-0.332327 66:-0.619196 67:-0.509748 68:0.590381 69:1 70:0.720636 71:-0.19669 72:-0.766242 73:-0.802478 74:-0.800646 75:-0.714042 76:-0.235647 77:0.791038 78:1 79:0.817112 80:0.0677752 81:-0.381443 82:-0.188015 83:-0.256779 84:-0.281794 85:-0.0226381 86:0.0618289 87:0.431488 88:1 89:0.704133 90:0.0241306 91:-0.0141731 92:-0.025008 93:-0.0321537 94:-0.0360842 95:-0.038052 96:-0.0389673 97:-0.0393587 98:-0.0394992 99:0.0564966 
0 1:1 2:-0.810134 3:-0.989714 4:-0.992935 5:-0.994605 6:-0.99588 7:-0.996854 8:-0.997604 9:-0.99818 10:-0.998621 11:-0.998957 12:-0.9992 13:-0.999363 14:-0.999489 15:-0.999595 16:-0.999758 17:-0.999765 18:-0.999897 19:-0.99989 20:-0.999928 21:-0.999961 22:-0.999969 23:-0.99997 24:-0.99997 25:-0.999979 26:-0.999987 27:-0.999992 28:-0.999992 29:-0.999993 30:-0.999995 31:-0.999995 32:-0.999995 33:-0.999996 34:-0.999996 35:-0.999997 36:-0.999998 37:-0.999999 38:-0.999999 39:-0.999999 40:-1 41:-1 42:-1 43:-1 44:-0.944449 45:-0.988084 46:-0.81359 47:-0.775782 48:-0.998361 49:-0.998729 50:-0.999015 51:-0.999237 52:-0.999409 53:-0.999543 54:-0.999646 55:-0.999726 56:-0.999788 57:-0.999836 58:-0.999873 59:-0.999902 60:-0.999924 61:-0.999941 62:-0.999954 63:-0.999965 64:-0.999973 65:-0.999979 66:-0.999985 67:-0.999988 68:-0.971591 69:-0.940522 70:-0.712864 71:-0.799163 72:-0.675202 73:-0.908577 74:-0.902015 75:-0.92494 76:-0.872042 77:-0.592564 78:-0.944214 79:-0.325207 80:-0.0490866 81:0.214268 82:-0.10549 83:-0.696256 84:-0.932765 85:-0.41045 86:-0.218199 87:-0.0685255 88:0.0231843 89:0.228363 90:0.366251 91:0.348371 92:0.207075 93:0.0590118 94:-0.0902752 95:-0.239991 96:-0.389906 97:-0.53993 98:-0.690019 99:-0.840151 
0 1:1 2:-0.810134 3:-0.989714 4:-0.992935 5:-0.994605 6:-0.99588 7:-0.996854 8:-0.997604 9:-0.99818 10:-0.998621 11:-0.998957 12:-0.9992 13:-0.999363 14:-0.999489 15:-0.999595 16:-0.999758 17:-0.999765 18:-0.999897 19:-0.99989 20:-0.999928 21:-0.999961 22:-0.999969 23:-0.99997 24:-0.99997 25:-0.999979 26:-0.999987 27:-0.999992 28:-0.999992 29:-0.999993 30:-0.999995 31:-0.999995 32:-0.999995 33:-0.999996 34:-0.999996 35:-0.999997 36:-0.999998 37:-0.999999 38:-0.999999 39:-0.999999 40:-1 41:-1 42:-1 43:-1 44:-0.944449 45:-0.988084 46:-0.81359 47:-0.775782 48:-0.998361 49:-0.998729 50:-0.999015 51:-0.999237 52:-0.999409 53:-0.999543 54:-0.999646 55:-0.999726 56:-0.999788 57:-0.998358 58:-0.989116 59:-0.990946 60:-0.915262 61:-0.866732 62:-0.951576 63:-0.948784 64:-0.977104 65:-0.977032 66:-0.986904 67:-0.988612 68:-0.956651 69:-0.957051 70:-0.953483 71:-0.951342 72:-0.942947 73:-0.944124 74:-0.967192 75:-0.980693 76:-0.988623 77:-0.99329 78:-0.996703 79:-0.997663 80:-0.998621 81:-0.999186 82:-0.995564 83:-0.993421 84:-0.993702 85:-0.992546 86:-0.993808 87:-0.995016 88:-0.996266 89:-0.996909 90:-0.99759 91:-0.998127 92:-0.998546 93:-0.998873 94:-0.999127 95:-0.999324 96:-0.999477 97:-0.999595 98:-0.999362 99:-0.993023 
0 1:1 2:-0.810134 3:-0.989714 4:-0.992935 5:-0.994605 6:-0.99588 7:-0.996854 8:-0.997604 9:-0.99818 10:-0.998621 11:-0.998957 12:-0.9992 13:-0.999363 14:-0.999489 15:-0.999595 16:-0.999758 17:-0.999765 18:-0.999897 19:-0.99989 20:-0.999928 21:-0.999961 22:-0.999969 23:-0.99997 24:-0.99997 25:-0.999979 26:-0.999987 27:-0.999992 28:-0.999992 29:-0.999993 30:-0.999995 31:-0.999995 32:-0.999995 33:-0.999996 34:-0.999996 35:-0.999997 36:-0.999998 37:-0.999999 38:-0.999999 39:-0.999999 40:-1 41:-1 42:-1 43:-1 44:-0.944449 45:-0.988084 46:-0.81359 47:-0.775782 48:-0.998361 49:-0.998729 50:-0.999015 51:-0.999237 52:-0.999409 53:-0.999543 54:-0.999646 55:-0.999726 56:-0.999788 57:-0.999836 58:-0.997001 59:-0.754946 60:0.353638 61:-0.952467 62:-0.654593 63:-0.812996 64:0.185389 65:0.656448 66:1 67:1 68:0.994623 69:0.665511 70:0.565494 71:0.255144 72:-0.218895 73:-0.472777 74:-0.450868 75:-0.422938 76:-0.389491 77:-0.350573 78:-0.421984 79:-0.254858 80:-0.247324 81:-0.341852 82:-0.462759 83:-0.673889 84:-0.796039 85:-0.854692 86:-0.975252 87:-0.913049 88:-0.822831 89:-0.727372 90:-0.660047 91:-0.614441 92:-0.593467 93:-0.598647 94:-0.629635 95:-0.684338 96:-0.759556 97:-0.851747 98:-0.94297 99:-0.969487 
0 1:-1 2:-1 3:-1 4:-1 5:-1 6:-1 7:-1 8:-1 9:-1 10:-1 11:-1 12:-1 13:-1 14:-1 15:-1 16:-1 17:-1 18:-1 19:-1 20:-1 21:-1 22:-1 23:-1 24:-1 25:-1 26:-1 27:-1 28:-1 29:-1 30:-1 31:-1 32:-1 33:-1 34:-1 35:-1 36:-1 37:-1 38:-1 39:-1 40:-1 41:-1 42:-1 43:-1 44:-0.676754 45:0.0881892 46:-0.112562 47:-0.813915 48:-1 49:-1 50:-1 51:-1 52:-1 53:-1 54:-1 55:-1 56:-1 57:-1 58:-1 59:-1 60:-1 61:-1 62:-1 63:-1 64:-1 65:-1 66:-1 67:-1 68:-1 69:-1 70:-1 71:-1 72:-1 73:-1 74:-1 75:-1 76:-1 77:-1 78:-1 79:-1 80:-1 81:-1 82:-1 83:-1 84:-1 85:-1 86:-1 87:-1 88:-1 89:-1 90:-1 91:-1 92:-1 93:-1 94:-1 95:-1 96:-1 97:-1 98:-1 99:-1 
0 1:1 2:-0.810134 3:-0.989714 4:-0.992935 5:-0.994605 6:-0.99588 7:-0.996854 8:-0.997604 9:-0.99818 10:-0.998621 11:-0.998957 12:-0.9992 13:-0.999363 14:-0.999489 15:-0.421369 16:0.192997 17:-0.0118307 18:0.724979 19:0.937449 20:0.948854 21:0.743226 22:0.429674 23:0.321044 24:0.0937819 25:-0.05997 26:-0.241337 27:-0.396817 28:-0.267589 29:-0.132212 30:-0.175383 31:0.0423697 32:0.275932 33:0.425648 34:0.700926 35:0.455968 36:-0.204807 37:-0.878032 38:-0.728363 39:-0.548858 40:-0.740805 41:-0.899828 42:-0.964862 43:-0.990614 44:-0.941445 45:-0.908652 46:-0.780343 47:-0.717377 48:-0.936907 49:-0.976688 50:-0.988746 51:-0.9903 52:-0.993232 53:-0.991921 54:-0.990676 55:-0.990392 56:-0.990282 57:-0.988843 58:-0.988841 59:-0.988759 60:-0.918871 61:-0.891944 62:-0.975954 63:-0.940735 64:-0.972194 65:-0.982415 66:-0.991607 67:-0.991184 68:-0.939539 69:-0.939489 70:-0.954904 71:-0.95974 72:-0.954502 73:-0.958363 74:-0.983024 75:-0.977863 76:-0.961983 77:-0.957762 78:-0.991035 79:-0.961642 80:-0.956541 81:-0.967155 82:-0.915746 83:-0.919223 84:-0.97071 85:-0.950873 86:-0.921501 87:-0.939337 88:-0.964077 89:-0.985136 90:-0.977134 91:-0.958315 92:-0.986465 93:-0.994395 94:-0.980604 95:-0.996314 96:-0.992995 97:-0.992847 98:-0.989701 99:-0.995027 
1 1:1 2:-0.810134 3:-0.989714 4:-0.992935 5:-0.994605 6:-0.99588 7:-0.996854 8:-0.997604 9:-0.99818 10:-0.998621 11:-0.998957 12:-0.9992 13:-0.999363 14:-0.999489 15:-0.999595 16:-0.999758 17:-0.999765 18:-0.97349 19:-0.198431 20:-0.449802 21:-0.718369 22:-0.820441 23:-0.928248 24:-0.962974 25:-0.974478 26:-0.989191 27:-0.981513 28:-0.704413 29:0.0428925 30:-0.11611 31:-0.272583 32:-0.647762 33:-0.795273 34:-0.341131 35:-0.839978 36:-0.80473 37:-0.257942 38:-0.6284 39:-0.616737 40:-0.421709 41:-0.540696 42:-0.599002 43:-0.675547 44:-0.849368 45:-0.974796 46:-0.70068 47:-0.56375 48:-0.7639 49:-0.888746 50:-0.989876 51:-0.895789 52:-0.8172 53:-0.771066 54:-0.745555 55:-0.747512 56:-0.773356 57:-0.818097 58:-0.874972 59:-0.943798 60:-0.959531 61:-0.991533 62:-0.981706 63:-0.956075 64:-0.928125 65:-0.875858 66:-0.823412 67:-0.716304 68:-0.849902 69:-0.496071 70:-0.33011 71:-0.216223 72:-0.119499 73:-0.0500138 74:-0.155785 75:-0.764998 76:-0.412316 77:0.425899 78:0.106699 79:-0.0557755 80:-0.601271 81:-0.446783 82:0.398192 83:1 84:1 85:0.800971 86:-0.0248987 87:-0.507855 88:-0.655099 89:-0.396245 90:-0.676716 91:-0.0270895 92:-0.379035 93:-0.324223 94:-0.228738 95:-0.333857 96:-0.309371 97:-0.28565 98:-0.253989 99:-0.287547 
0 1:1 2:-0.810134 3:-0.989714 4:-0.992935 5:-0.994605 6:-0.99588 7:-0.996854 8:-0.997604 9:-0.99818 10:-0.998621 11:-0.998957 12:-0.9992 13:-0.999363 14:-0.999489 15:-0.999595 16:-0.999758 17:-0.999765 18:-0.999897 19:-0.99989 20:-0.999928 21:-0.999961 22:-0.999969 23:-0.99997 24:-0.99997 25:-0.999979 26:-0.999987 27:-0.999992 28:-0.999992 29:-0.999993 30:-0.999995 31:-0.999995 32:-0.999995 33:-0.999996 34:-0.999996 35:-0.999997 36:-0.999998 37:-0.999999 38:-0.999999 39:-0.999999 40:-1 41:-1 42:-1 43:-1 44:-0.944449 45:-0.988084 46:-0.81359 47:-0.775782 48:-0.998361 49:-0.998729 50:-0.999015 51:-0.999237 52:-0.999409 53:-0.999543 54:-0.999646 55:-0.999726 56:-0.999788 57:-0.998358 58:-0.989116 59:-0.990946 60:-0.915262 61:-0.866732 62:-0.951576 63:-0.948784 64:-0.977104 65:-0.977032 66:-0.986904 67:-0.988612 68:-0.956651 69:-0.957051 70:-0.953483 71:-0.951342 72:-0.942947 73:-0.944124 74:-0.967192 75:-0.980693 76:-0.988623 77:-0.99329 78:-0.996703 79:-0.997663 80:-0.998621 81:-0.999186 82:-0.995564 83:-0.993421 84:-0.993702 85:-0.992546 86:-0.993808 87:-0.995016 88:-0.996266 89:-0.996909 90:-0.99759 91:-0.998127 92:-0.998546 93:-0.998873 94:-0.999127 95:-0.999324 96:-0.999477 97:-0.999595 98:-0.999362 99:-0.993023 
0 1:1 2:-0.810134 3:-0.989714 4:-0.992935 5:-0.994605 6:-0.99588 7:-0.996854 8:-0.997604 9:-0.99818 10:-0.998621 11:-0.998957 12:-0.9992 13:-0.999363 14:-0.999489 15:-0.999595 16:-0.999758 17:-0.999765 18:-0.999897 19:-0.99989 20:-0.999928 21:-0.999961 22:-0.999969 23:-0.99997 24:-0.99997 25:-0.999979 26:-0.999987 27:-0.999992 28:-0.999992 29:-0.999993 30:-0.999995 31:-0.999995 32:-0.999995 33:-0.999996 34:-0.999996 35:-0.999997 36:-0.999998 37:-0.999999 38:-0.999999 39:-0.999999 40:-1 41:-1 42:-1 43:-1 44:-0.944449 45:-0.988084 46:-0.81359 47:-0.775782 48:-0.998361 49:-0.998729 50:-0.999015 51:-0.999237 52:-0.999409 53:-0.999543 54:-0.999646 55:-0.999726 56:-0.999788 57:-0.999836 58:-0.997001 59:-0.754946 60:0.353638 61:-0.952467 62:-0.654593 63:-0.812996 64:0.185389 65:0.656448 66:1 67:1 68:0.994623 69:0.665511 70:0.565494 71:0.255144 72:-0.218895 73:-0.472777 74:-0.450868 75:-0.422938 76:-0.389491 77:-0.350573 78:-0.421984 79:-0.254858 80:-0.247324 81:-0.341852 82:-0.462759 83:-0.673889 84:-0.796039 85:-0.854692 86:-0.975252 87:-0.913049 88:-0.822831 89:-0.727372 90:-0.660047 91:-0.614441 92:-0.593467 93:-0.598647 94:-0.629635 95:-0.684338 96:-0.759556 97:-0.851747 98:-0.94297 99:-0.969487 
0 1:-1 2:-1 3:-1 4:-1 5:-1 6:-1 7:-1 8:-1 9:-1 10:-1 11:-1 12:-1 13:-1 14:-1 15:-1 16:-1 17:-1 18:-1 19:-1 20:-1 21:-1 22:-1 23:-1 24:-1 25:-1 26:-1 27:-1 28:-1 29:-1 30:-1 31:-1 32:-1 33:-1 34:-1 35:-1 36:-1 37:-1 38:-1 39:-1 40:-1 41:-1 42:-1 43:-1 44:-0.676754 45:0.0881892 46:-0.112562 47:-0.813915 48:-1 49:-1 50:-1 51:-1 52:-1 53:-1 54:-1 55:-1 56:-1 57:-1 58:-1 59:-1 60:-1 61:-1 62:-1 63:-1 64:-1 65:-1 66:-1 67:-1 68:-1 69:-1 70:-1 71:-1 72:-1 73:-1 74:-1 75:-1 76:-1 77:-1 78:-1 79:-1 80:-1 81:-1 82:-1 83:-1 84:-1 85:-1 86:-1 87:-1 88:-1 89:-1 90:-1 91:-1 92:-1 93:-1 94:-1 95:-1 96:-1 97:-1 98:-1 99:-1 
0 1:1 2:-0.810134 3:-0.989714 4:-0.992935 5:-0.994605 6:-0.99588 7:-0.996854 8:-0.997604 9:-0.99818 10:-0.998621 11:-0.998957 12:-0.9992 13:-0.944898 14:-0.114142 15:-0.634147 16:-0.944026 17:-0.974937 18:-0.998443 19:-0.998338 20:-0.981818 21:-0.944841 22:-0.981187 23:-0.950819 24:-0.996646 25:-0.968667 26:-0.97164 27:-0.999214 28:-0.997614 29:-0.995269 30:-0.999473 31:-0.986952 32:-0.996751 33:-0.998531 34:-0.995366 35:-0.982378 36:-0.994897 37:-0.997472 38:-0.993379 39:-0.989692 40:-0.995173 41:-0.995661 42:-0.991926 43:-0.988972 44:-0.99419 45:-0.998764 46:-0.987414 47:-0.993856 48:-0.995586 49:-0.991959 50:-0.993614 51:-0.9954 52:-0.988 53:-0.998906 54:-0.993668 55:-0.990736 56:-0.994226 57:-0.992983 58:-0.982853 59:-0.996983 60:-0.992928 61:-0.992415 62:-0.993036 63:-0.987125 64:-0.993967 65:-0.99853 66:-0.992858 67:-0.989946 68:-0.994212 69:-0.993859 70:-0.98702 71:-0.994471 72:-0.991041 73:-0.993272 74:-0.993033 75:-0.992886 76:-0.990557 77:-0.994111 78:-0.995617 79:-0.993099 80:-0.992848 81:-0.988105 82:-0.992986 83:-0.995127 84:-0.994223 85:-0.993012 86:-0.992921 87:-0.990322 88:-0.994352 89:-0.999007 90:-0.98044 91:-0.993174 92:-0.986399 93:-0.995891 94:-0.99348 95:-0.99286 96:-0.989761 97:-0.994092 98:-0.993114 99:-0.988719 
